あいさつ,基本的なあいさつ
Hello,こんにちは。
Good morning.,おはようございます。
Good evening.,こんばんは。
Good night.,おやすみなさい。
How are you?,いかがお過ごしですか？
How are you doing?,お元気ですか？
How do you do?,調子はいかがですか？
I'm fine., 元気です。
I’m doing well. Thanks.,元気だよ、ありがとう。
Not too bad.,まあまあです。
What’s up?,調子どう？
What's new?どうだい？
How’s it going?,調子どう？
Not too bad.,まあまあです。
I'm pretty good.,なかなか調子いいよ。
Good to see you.,お会いできてうれしいです。
Nice to meet you.,お会いできてうれしいです。
See you.,またね。
How have you been?,元気だった？
What have you been doing lately?,最近何してた？
Long time no see.,しばらくだね。
It's nice weather today isn't it?,今日はとても良い天気ですね。
Thank you.,ありがとう。
Thanks. (カジュアルに)ありがとう。
Bye.,じゃあね。
Good bye.,さようなら。
See you.,またね。
See you later.,また今度。
Nice talking to you.,話せて良かったよ。
Have a good day.,良い一日を。
Have a good weekend.,良い週末を。
