TOEIC1,TOEIC頻出単語,#9400D3
contacting,接触している、繋がっている
contain,を含む、収容する
cordless,コードなしの
counti(es),国、国土、国家
Dallas,ダラス
danger,危険、危機、脅威
degree,度、程度、度合い、学位
delicious,おいしい、美味な
department(s),局、部、課、部門、学部
depend(s),当てにする、頼みにする
dialog,会話、対話、対談、問答
diamond(s),ダイヤモンド、ひし形
disagree(s),反対する、一致しない
disaster(s),災害、天災、災難、惨事
discounted,値下げした、割り引いた
Duncan,ダンカン
educational,教育の、教育上の
effect(s),効果、効き目、効力、影響
efficiently,効率的に、有効に、事実上
encourage,奨励する、勇気づける
exclusively,排他的に、独占的に
expecting,期待している、お産が近い
extension,拡張、伸長、延長、内線
extensive,広大な、広域の、大規模な
facing,直面している
fat,太った、脂肪、脂、脂質
fee,手数料、料金、授業料
fell,倒れた、切り倒した
figure(s),形状、形、図、図表
film,映画、フィルム、撮影する
finishing,仕上げている、終えている
fit,適合する、合う、似合う
flavor,風味、味わい、香味料
fly,飛ぶ、逃げる、飛行する
football,アメフト、サッカー、ラグビー
foreign,外国の、対外関係の
forget,忘れる、見落とす
forgotten,忘れた
France,フランス
frank,率直な、公然の
Franklin,フランクリン
fully,完全に、十分に、全く
generation,世代、発生、生成、創出
goal,目標、目的地、目的
gym,体育館、体育、体操
Hanson,ハンソン
haven,避難所、安息の地、港
heat,熱、熱さ、加熱、火力
herself,彼女自身
